id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
33,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2023-historic-hotels-worldwide-awards-of-excellence-nominee-finalists-announced,https://phgcdn.com/images/uploads/historichotels/homepage/mastheads/W26_Castlemartyr_Resort.png,press_release,,,2024-11-27 00:24:44,2024-11-27 00:24:44,en,,Discover more about ., - SEO Title, - SEO Description,
34,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2023-top-25-historic-hotels-worldwide-most-magnificent-ceilings-and-domes,https://phgcdn.com/images/uploads/TOP_25_LISTS/WW_2023_Ceilings_Domes/Image_of_intricate_ceiling_over_staircase_at_Hotel_Bristol_Palace_1905_Member_of_Historic_Hotels_Worldwide_in_Genova_Italy_2023_Top_25_Most_Magnificent_Ceilings_and_Domes.png,press_release,,,2024-11-27 00:24:45,2024-11-27 00:24:45,en,,Discover more about ., - SEO Title, - SEO Description,
35,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2023-historic-hotels-worldwide-top-25-afternoon-tea,https://phgcdn.com/images/uploads/Inspiration/2023_WW_Tea/Fairmont_Empress_Hotel_Lobby_Lounge_-_Victoria_BC_Canada_-_Afternoon_Tea_-_Historic_Hotels_Worldwide_16_9.jpg,press_release,,,2024-11-27 00:24:46,2024-11-27 00:24:46,en,,Discover more about ., - SEO Title, - SEO Description,
36,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-top-25-holiday-traditions-and-spectacular-displays,https://phgcdn.com/images/uploads/Press_Room/AwardsWinners/hero_Fairmont_Empress_Victoria_Canada_Credit_Historic_Hotels_Worldwide.jpg.png,press_release,,,2024-11-27 00:24:48,2024-11-27 00:24:48,en,,Discover more about ., - SEO Title, - SEO Description,
37,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-historic-hotels-worldwide-annual-awards-of-excellence-winners-announced,https://phgcdn.com/images/uploads/SNNDC/2-column-mastheads-c1/SNNDC-masthead-2C1-dromolandcastle.jpg,press_release,,,2024-11-27 00:24:49,2024-11-27 00:24:49,en,,Discover more about ., - SEO Title, - SEO Description,
38,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-historic-hotels-awards-of-excellence-nominee-finalists-announced,https://phgcdn.com/images/uploads/awards/HHW/Raffles_Singapore_1887_Singapore_Singapore_Credit_Historic_Hotels_Worldwide_and_Raffles_Singapore.jpg,press_release,,,2024-11-27 00:24:50,2024-11-27 00:24:50,en,,Discover more about ., - SEO Title, - SEO Description,
39,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/five-lisbon-heritage-hotels-join-historic-hotels-worldwide,https://phgcdn.com/images/uploads/LISBA/overviewimages/1600x813-Hotel-Britania-Art-Deco-Lobby-Sphere.jpg,press_release,,,2024-11-27 00:24:50,2024-11-27 00:24:50,en,,Discover more about ., - SEO Title, - SEO Description,
40,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-top-25-historic-hotels-worldwide-most-magnificent-art-collections,https://phgcdn.com/images/uploads/Top25Lists/art/HHW/1600x813-Pulitzer-Amsterdam-Art-Art-Collectors-Suite.jpg,press_release,,,2024-11-27 00:24:52,2024-11-27 00:24:52,en,,Discover more about ., - SEO Title, - SEO Description,
41,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-top-12-historic-hotels-worldwide-most-historic-golf-courses-list-announced,https://phgcdn.com/images/uploads/package/dromolandgolf.png,press_release,,,2024-11-27 00:24:54,2024-11-27 00:24:54,en,,Discover more about ., - SEO Title, - SEO Description,
42,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2022-top-25-historic-hotels-worldwide-most-magnificent-gardens-27th-april-2022,https://phgcdn.com/images/uploads/Top25Lists/2022_Gardens/HHW/1600x813-Grand-Hotel-Tremezzo.jpg,press_release,,,2024-11-27 00:24:54,2024-11-27 00:24:54,en,,Discover more about ., - SEO Title, - SEO Description,
43,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2022-top-25-historic-hotels-worldwide-most-romantic-hotels,https://phgcdn.com/images/uploads/LUGTP/masthead/1600x813-Grand-Hotel-Tremezzo2.jpg,press_release,,,2024-11-27 00:24:55,2024-11-27 00:24:55,en,,Discover more about ., - SEO Title, - SEO Description,
44,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-historic-hotels-worldwide-most-magnificent-gingerbread-displays-list-announced,https://phgcdn.com/images/uploads/package/Fairmont-Hotel-MacDonald-1b.jpg,press_release,,,2024-11-27 00:24:56,2024-11-27 00:24:56,en,,Discover more about ., - SEO Title, - SEO Description,
45,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/historic-hotels-of-america-and-historic-hotels-worldwide-2021-awards-of-excellence-winners-announced,https://phgcdn.com/images/uploads/SPCHH/overviewimages/1600x813-hacienda-de-abajo-exterior2.jpg,press_release,,,2024-11-27 00:24:57,2024-11-27 00:24:57,en,,Discover more about ., - SEO Title, - SEO Description,
46,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2021-historic-hotels-awards-of-excellence-nominee-finalists-announced,https://phgcdn.com/images/uploads/YQBLM/search/456x333_Image_of_Exterior_Fairmont_Le_Manoir_Richelieu_Charlevoix.jpg,press_release,,,2024-11-27 00:24:58,2024-11-27 00:24:58,en,,Discover more about ., - SEO Title, - SEO Description,
47,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-historic-hotels-worldwide-2021-top-25-historic-hotels-for-a-romantic-proposal-announced,https://phgcdn.com/images/uploads/package/19A9843-bd-Facade-rogne-2200x987.jpg,press_release,,,2024-11-27 00:24:58,2024-11-27 00:24:58,en,,Discover more about ., - SEO Title, - SEO Description,
48,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2020-historic-hotels-awards-of-excellence-winners-announced,https://phgcdn.com/images/uploads/package/Image-of-Exterior-Front-Entrance-Great-Southern-Killarney-County-Kerry-Ireland.jpg,press_release,,,2024-11-27 00:24:59,2024-11-27 00:24:59,en,,Discover more about ., - SEO Title, - SEO Description,
49,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/2020-historic-hotels-awards-of-excellence-nominee-finalists-announced,https://phgcdn.com/images/uploads/package/Image-of-Villa-Sola-Cabiati-Exterior-Grand-Hotel-Tremezzo-Tremezzina-Italy.jpg,press_release,,,2024-11-27 00:25:00,2024-11-27 00:25:00,en,,Discover more about ., - SEO Title, - SEO Description,
50,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/the-2019-historic-hotels-worldwide-top-10-most-magnificent-gardens-announced,https://phgcdn.com/images/uploads/historichotels/press/cards/Sofitel_Legend_The_Grand_Amsterdam_Garden_Terrace1.jpg,press_release,,,2024-11-27 00:25:01,2024-11-27 00:25:01,en,,Discover more about ., - SEO Title, - SEO Description,
51,,,Press release published on ,Read more at https://www.historichotels.org/press/press-releases/75-legendary-hotels-inducted-into-historic-hotels-worldwide-in-2018,https://phgcdn.com/images/uploads/historichotels/press/cards/Fairmont-Banff-Springs.jpg,press_release,,,2024-11-27 00:25:02,2024-11-27 00:25:02,en,,Discover more about ., - SEO Title, - SEO Description,
